id,datetime,demand
0,1/01/2020 0:00:00,1346
1,1/01/2020 1:00:00,1301
2,1/01/2020 2:00:00,1271
3,1/01/2020 3:00:00,1258
4,1/01/2020 4:00:00,1246
5,1/01/2020 5:00:00,1266
6,1/01/2020 6:00:00,1259
7,1/01/2020 7:00:00,1416
8,1/01/2020 8:00:00,1456
9,1/01/2020 9:00:00,1501
10,1/01/2020 10:00:00,1519
11,1/01/2020 11:00:00,1554
12,1/01/2020 12:00:00,1577
13,1/01/2020 13:00:00,1606
14,1/01/2020 14:00:00,1595
15,1/01/2020 15:00:00,1531
16,1/01/2020 16:00:00,1449
17,1/01/2020 17:00:00,1396
18,1/01/2020 18:00:00,1509
19,1/01/2020 19:00:00,1507
20,1/01/2020 20:00:00,1480
21,1/01/2020 21:00:00,1468
22,1/01/2020 22:00:00,1433
23,1/01/2020 23:00:00,1375
